timestamp,temperatura,humedad_aire,humedad_suelo,presion,co2,lumenes
2025-05-03T14:53:40,30.5,52.66,788.0,90.47,600.0,112.17
2025-05-03T14:58:46,30.56,52.35,786.0,90.47,600.0,112.89
2025-05-03T15:03:49,30.62,52.28,771.0,90.46,600.0,112.89
